epoch,loss,val_loss
1,0.0026050217217885078,0.0018417789765550491
2,0.0023219863018868925,0.001764138004003931
3,0.0022489349984783306,0.001738810183348804
4,0.0022175089291308083,0.0017278143186318868
5,0.002200076794494917,0.0017227353561102073
6,0.002188008878439789,0.0017204653733925615
7,0.0021786771874867565,0.001719168034598597
8,0.0021706203245907022,0.0017195175813225123
9,0.0021630666216877546,0.0017201088033187066
10,0.0021556980470857777,0.0017215939717020803
11,0.002148626614212013,0.001723695213935281
12,0.0021412780291444793,0.0017256224931930554
13,0.002133686688289291,0.0017279709933613078
14,0.0021260926461456648,0.0017319883495267377
15,0.0021183763256787318,0.0017352841015073517
16,0.0021107848047376477,0.001739519361606804
17,0.0021030448930183534,0.0017427790964082406
18,0.00209580309888708,0.0017470242612319668
19,0.0020884111131186382,0.0017519600554664165
20,0.002081131681035125,0.0017561881121300334
21,0.0020736044507588727,0.001760117406292375
22,0.002067129642458179,0.0017651571100887513
23,0.002060313391298885,0.0017705144854054708
24,0.0020533022872002427,0.0017761619791004629
25,0.0020478336187998653,0.0017824894771383214
26,0.0020421319192502115,0.0017861628692426089
27,0.0020365033345742874,0.0017921391997834891
28,0.0020309467842567178,0.0017956180991202193
29,0.0020258517940903043,0.0018000024703414656
30,0.002020374121395133,0.0018048815375187111
31,0.0020157963379217048,0.0018085253955360731
32,0.002011240524927575,0.0018134077042594448
