epoch,loss,val_loss
1,0.0023237189082912137,0.0017347420429607342
2,0.002211708002252521,0.001725099343665506
3,0.002186706317154844,0.001720660586503702
4,0.002169859101508791,0.0017185579035833346
5,0.002156110263701461,0.0017181363225010648
6,0.0021436796546520183,0.0017178580897919207
7,0.0021323906100965983,0.0017188004792850933
8,0.0021217595994047463,0.0017208169010613315
9,0.002111189277659808,0.0017242336707639807
10,0.002101076374090421,0.0017280459090939964
11,0.002091251067696764,0.0017329334403083487
12,0.0020815284102637627,0.0017378616709351712
13,0.0020720625553182948,0.0017418442705226952
14,0.002062920314727734,0.0017470937743877789
15,0.0020539277255166555,0.001750903671601148
16,0.0020453984973156916,0.001754438037393811
17,0.0020371696523890665,0.0017584960929717113
18,0.002029128817137746,0.0017614702115422724
19,0.0020210980666965955,0.0017642565005234242
20,0.002013417223151152,0.0017683269820281406
21,0.00200596833023961,0.0017711923287175866
22,0.001999042947027409,0.001774173830809879
23,0.0019921008158268905,0.0017760026030826037
24,0.0019857598113468405,0.001779585772153052
25,0.0019796822725324723,0.0017820970699711854
26,0.001974021812652976,0.0017839667217422763
27,0.0019687267470562334,0.001784867871565291
28,0.001963598981256769,0.0017876714487924477
29,0.0019589376379276495,0.0017894580809655351
30,0.0019543692189208078,0.0017925148589623078
