model,family,input_window,output_window,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,n_train_samples,epochs_run,best_epoch,hit_epoch_limit,seconds,seed,best_baseline,dm_statistic,dm_p_value,params_to_samples,exceeds_param_rule
linear_regression,baseline,5,30,0.0021916500942631596,0.0017149548255392458,0.002339828366133776,0.5583765901939163,2668,13094,,,False,0.0,,historical_mean,2.9049480507220773,0.0037230905800460096,0.2037574461585459,True
mlp_small,dense,5,30,0.0021842954791424867,0.0017137653455742657,0.0023469878639056445,0.5591834539146339,4471,13094,33.0,9.0,False,10.6,42.0,historical_mean,3.381391778711956,0.0007383940682780883,0.3414541011150145,True
mlp_deep,dense,5,30,0.00220150623281703,0.00170229552499174,0.0023217301944614085,0.5747290282671257,10263,13094,27.0,13.0,False,10.3,42.0,historical_mean,0.13923328719451122,0.8892831543911228,0.7837941041698487,True
lstm,recurrent,5,30,0.0021836946815282123,0.0017094140112085103,0.002335024320514811,0.5669562410908797,7927,13094,28.0,3.0,False,15.4,42.0,historical_mean,1.6989846391222663,0.08951455353165069,0.6053917824957996,True
gru,recurrent,5,30,0.0021817404127830275,0.0017097600264407151,0.002339227760323911,0.5670369274629515,6231,13094,29.0,4.0,False,16.5,42.0,historical_mean,2.2446613610003054,0.024924699191500754,0.4758668092255995,True
cnn,convolutional,5,30,0.0021798230689555782,0.0017134029082842466,0.002349085712378894,0.555364298969904,3095,13094,34.0,9.0,False,16.1,42.0,historical_mean,3.2249927458144776,0.0012849324187276525,0.23636780204673896,True
cnn_deep,convolutional,5,30,0.0021893738707891683,0.0017028577922506328,0.0023271419869475393,0.5711788278959684,9815,13094,31.0,6.0,False,18.5,42.0,historical_mean,1.032009565849086,0.30222205924449036,0.7495799602871545,True
conv_gru,mixed,5,30,0.0022003393006391793,0.0017045964554451539,0.0023201658146641303,0.5751324601274844,10487,13094,26.0,1.0,False,16.9,42.0,historical_mean,-0.32116059896733434,0.7481302189837524,0.8009011761111959,True
multibranch,mixed,5,30,0.0022000777560502328,0.0017043935431189587,0.002321330574962079,0.5734918372286921,10471,13094,27.0,3.0,False,17.8,42.0,historical_mean,0.049865099656832196,0.9602360513914001,0.7996792424010998,True
buy_and_hold,baseline,5,90,0.01197343767328848,0.008960331592743523,0.012226012663017575,0.5002833778641406,0,13045,,,False,0.0,,historical_mean,10.623730114894919,1.582695059248588e-25,0.0,False
