epoch,loss,val_loss
1,0.0013396418396381946,0.0009250835004107352
2,0.0012692881151580493,0.0009250248112153247
3,0.0012659798978799073,0.0009254437696997554
4,0.0012646760710702868,0.0009257618239534803
5,0.0012639485309741973,0.0009258264850319326
6,0.0012635804364591224,0.0009256379588621138
7,0.0012631262644574454,0.0009255953319728156
8,0.001261874949033192,0.0009256679212408235
9,0.001260564223669023,0.0009255131670992409
10,0.0012589530508097524,0.0009263691026807284
11,0.0012569755338149192,0.0009262473998228771
12,0.001253560234496028,0.000926370338242737
13,0.0012521878339949277,0.0009286064995513797
14,0.0012480916370457736,0.0009277342957367783
15,0.0012447193764701836,0.000929603495128854
16,0.0012428376155310201,0.0009308640772681721
17,0.001236946352910309,0.0009327783746735632
18,0.0012356583824797993,0.0009315634053650642
19,0.0012317061285046522,0.0009344402055751882
20,0.0012289421762913175,0.0009356406570300857
21,0.0012257595744840542,0.0009356361266360541
22,0.0012231471845437797,0.0009374077166294468
23,0.0012193941649425262,0.0009375351854433385
24,0.0012177873165502859,0.0009386962018774602
25,0.0012136319155882176,0.000938841277449975
26,0.001210896690191584,0.00093817582434482
