model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.0054725514303187,0.0041345073361864,0.0055988198061451,0.541733849295926,23,0.0017539845954396,,,1.0
cnn_deep,convolutional,0.0054498182542098,0.004136783764789,0.0056060103668727,0.5288347844781254,9815,0.7484938610539159,31.0,6.0,0.3893196544661289
conv_gru,mixed,0.0054696113089188,0.004137917961457,0.0055994547669269,0.5386434483499947,10487,0.7997407153206741,26.0,1.0,0.5634780035914011
mlp_deep,dense,0.0054714930278708,0.0041380256167749,0.0055988394469543,0.540228958400516,10263,0.7826584305650881,27.0,12.0,0.9872327337867146
multibranch,mixed,0.0054682632932311,0.0041429775460892,0.0056030712164852,0.5363592389551758,10471,0.7985205521238465,27.0,2.0,0.0385867807697057
lstm,recurrent,0.0054531010763633,0.0041519047581987,0.0056155879858926,0.5230033322584112,7927,0.604514603828262,27.0,2.0,0.0270385092156297
gru,recurrent,0.0054458400321337,0.0041614520817399,0.0056273737057297,0.5257443835321939,6231,0.475177304964539,28.0,4.0,0.0012164557422342
zero_return,baseline,0.0054813580804487,0.0041643783945467,0.0056198183084696,0.0,0,0.0,,,0.0202549213949573
cnn,convolutional,0.0054418478766425,0.0041699920884572,0.0056519033272351,0.5161238310222509,3095,0.2360253183863341,34.0,11.0,5.253785404957822e-06
linear_regression,baseline,0.005440048184534,0.0041789508947696,0.0056467537780032,0.5208803611738149,2668,0.2034622130709982,,,1.688098418103203e-05
mlp_small,dense,0.0054290243876741,0.0041801782188547,0.0056551049292511,0.5180855637966247,4471,0.3409593533135057,33.0,8.0,2.614154481560824e-07
window_mean,baseline,0.0080078777612752,0.0060537915864454,0.008062599737788,0.4995969042244437,0,0.0,,,4.566531577670501e-68
buy_and_hold,baseline,0.013256492825823,0.0101213416734746,0.0137036919343926,0.4980113941739224,0,0.0,,,2.314010803823e-133
