model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
mlp_deep,dense,0.0021644643301162,0.0017024860362182,0.0023292276758313,0.5726403662313182,47063,3.60001529870726,33.0,8.0,0.2570883046890657
conv_gru,mixed,0.0021661967871692,0.0017030490354573,0.0023284511900514,0.5690857681432611,10487,0.8021877151380709,27.0,2.0,0.5764140595445568
cnn,convolutional,0.0021027990210253,0.0017034842146842,0.0023544419115862,0.5501279116736233,3095,0.2367474948366863,29.0,4.0,0.0218999885718148
historical_mean,baseline,0.0022047384063818,0.0017035499041462,0.0023218720369683,0.5751985997037835,23,0.0017593513348122,,,1.0
multibranch,mixed,0.0022006054156957,0.0017055684332013,0.0023222442202828,0.5713477851083884,19671,1.5047043524822152,26.0,2.0,0.8810483600567435
gru,recurrent,0.0021794112604823,0.0017117440564878,0.0023453190827522,0.5637538710111755,6231,0.4766312246615161,28.0,3.0,0.0272060451955246
cnn_deep,convolutional,0.0020767484226529,0.0017127444155266,0.0023529242733581,0.5444190117140164,9815,0.7507840587470359,28.0,3.0,0.0879244122820914
lstm,recurrent,0.0021963575463819,0.0017155089916381,0.0023410266045877,0.5617342130065975,7927,0.6063642622198424,26.0,1.0,0.0239993767288293
mlp_small,dense,0.0021019948886182,0.0017346166367024,0.0024113008123719,0.539464117409452,22871,1.7494836686300008,31.0,6.0,2.859847699679891e-05
linear_regression,baseline,0.0021477387325706,0.0017416859246223,0.0024365273277268,0.5412414164534806,15893,1.215711772355236,,,3.053208326700025e-05
zero_return,baseline,0.0022487226361911,0.0017451286626527,0.0023566099545328,0.0,0,0.0,,,0.0701836291650086
window_mean,baseline,0.0031759646709835,0.0025229021222697,0.0034976165931967,0.4866567927830887,0,0.0,,,2.0538700152545992e-19
buy_and_hold,baseline,0.0121308475978795,0.009263850583765,0.0125381575621114,0.4955432880032314,0,0.0,,,8.049710677865383e-41
