model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.0118555388558511,0.0090304597917107,0.0123090218919611,0.5240908351850848,23,0.0017625871714307,,,1.0
cnn_deep,convolutional,0.0118323826115088,0.0090326830117403,0.0123141808580483,0.5134681047097718,9815,0.752164916851866,36.0,15.0,0.3270734877713229
conv_gru,mixed,0.011781421214191,0.0090425174629603,0.0123279087878368,0.5061243293046447,10487,0.8036631159475822,35.0,10.0,0.2723693677653395
zero_return,baseline,0.0118318206468906,0.0090468648555419,0.0123216315509591,0.0,0,0.0,,,0.0187955090421289
multibranch,mixed,0.0118260726379871,0.0090482999224115,0.012329157315927,0.5150398352392824,41751,3.1995555214959,26.0,1.0,1.4105838147377231e-05
mlp_deep,dense,0.0117631139965538,0.0090511481832429,0.0123296405764593,0.507425071811826,135383,10.374971262165683,28.0,5.0,0.0003304809908548
cnn,convolutional,0.0118283105028563,0.0090649960361746,0.0123582025557643,0.5053384640398895,3095,0.2371829258947045,40.0,19.0,1.7249804709658827e-09
lstm,recurrent,0.0118152709617395,0.0090758707646719,0.0123340207701279,0.509240691561433,7927,0.607479500344854,29.0,4.0,0.0086372246206428
gru,recurrent,0.0117985649208291,0.0090892543218309,0.0123653775370538,0.5072624789984282,6231,0.4775078550080466,32.0,7.0,1.852366761600575e-06
window_mean,baseline,0.0119504465199275,0.0090921803256425,0.0123867515247294,0.5076147634274565,0,0.0,,,1.0535928657194368e-05
mlp_small,dense,0.0109351167191031,0.0096729217343447,0.0132205574227314,0.5060972305024118,67031,5.136868725572841,29.0,4.0,1.2977319403821735e-68
linear_regression,baseline,0.0111872869314678,0.0103874451820094,0.0141602239807241,0.5046880927862989,47633,3.650318032033106,,,3.290235442959941e-140
buy_and_hold,baseline,0.0167279812161172,0.0130878583132543,0.0178794901180945,0.4966126497208823,0,0.0,,,2.8072790860781234e-139
