model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
mlp_deep,dense,0.0022010796455103,0.0017019304526392,0.0023220585138235,0.5749710873833409,17623,1.3463977385590955,27.0,11.0,0.8301561740330577
multibranch,mixed,0.0021668861964168,0.0017019996138664,0.0023272293242174,0.5734111508566203,12311,0.9405607762243104,30.0,5.0,0.5722552112071358
historical_mean,baseline,0.0022040449352457,0.0017034055190878,0.0023211295581298,0.575401414701057,23,0.0017572007028802,,,1.0
conv_gru,mixed,0.002198207312299,0.0017045980432611,0.0023207583202751,0.5748904010112692,10487,0.8012071204828481,26.0,1.0,0.9195147014843889
cnn_deep,convolutional,0.0021643418939568,0.00170573575945,0.002333313570062,0.564105322611011,9815,0.74986629994652,31.0,6.0,0.0911914242640121
lstm,recurrent,0.0021802163446388,0.0017107250320963,0.0023374366517521,0.5655576773083026,7927,0.6056230422492169,27.0,2.0,0.190076180810771
gru,recurrent,0.002182391459892,0.001711413144387,0.0023379165872261,0.5681934321293134,6231,0.4760485904194361,28.0,3.0,0.1025709906575859
cnn,convolutional,0.0021465929717714,0.0017181364090197,0.0023693285626401,0.546730857158226,3095,0.2364580945832378,30.0,6.0,0.0003457851857085
mlp_small,dense,0.0021643171931789,0.0017191681070989,0.0023625616978533,0.5506306984750275,8151,0.6227366490946596,32.0,7.0,0.0004046546313049
linear_regression,baseline,0.0021810783988776,0.0017206867240478,0.0023580661292527,0.5471342890185847,5313,0.4059133623653449,,,0.0037231800360685
zero_return,baseline,0.0022480267648974,0.0017444755857409,0.0023560737456528,0.0,0,0.0,,,0.068399632774427
window_mean,baseline,0.0044907250933443,0.0035309134345512,0.0047425501844979,0.4987224657755305,0,0.0,,,1.962489512557909e-32
buy_and_hold,baseline,0.0121286983626384,0.0092578259686072,0.0125335965771276,0.4957639654662327,0,0.0,,,6.968779227011558e-41
