model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.0012643090997388,0.0009243902155148,0.0012691868317334,0.6320966303672279,23,0.0017659705159705,,,1.0
mlp_deep,dense,0.0012598611485011,0.0009254011184337,0.0012690415104476,0.6315021482422244,47063,3.6135595823095823,27.0,2.0,0.977038531874774
multibranch,mixed,0.001260439456463,0.0009264484863708,0.001269954320022,0.6298808333558515,19671,1.510365479115479,26.0,1.0,0.8345186169197556
conv_gru,mixed,0.0012591621453011,0.0009317341943726,0.0012731548137713,0.6316102359013159,10487,0.805205773955774,26.0,1.0,0.5733508528978148
lstm,recurrent,0.0012570287226965,0.0009340076550628,0.0012788379996923,0.6285567595319804,7927,0.6086455773955773,26.0,1.0,0.2523176963220782
gru,recurrent,0.001257037929376,0.0009348744279322,0.0012816843410425,0.6254492393330991,6231,0.4784244471744471,27.0,2.0,0.1062749945839049
cnn,convolutional,0.0012444322600082,0.0009399730920412,0.0012900765184654,0.6169913800091874,3095,0.2376382063882063,26.0,1.0,0.0348155337802834
mlp_small,dense,0.0012163081655577,0.0009558727005107,0.0013307711427402,0.5960764179749777,22871,1.7560657248157248,30.0,5.0,0.0025485414852727
cnn_deep,convolutional,0.0012667677426533,0.0009608084460068,0.0013365224112406,0.6053449347420758,9815,0.7536087223587223,26.0,1.0,0.022796329146255
linear_regression,baseline,0.001234656623325,0.0009620279642149,0.0013569205361251,0.5853487178101441,15893,1.2202856265356266,,,0.0045778529379591
zero_return,baseline,0.0013363541555711,0.0009858519721537,0.0013264744344897,0.0,0,0.0,,,0.083221391175418
window_mean,baseline,0.0025523128041222,0.0019445634162587,0.0027201680403066,0.4957440484232713,0,0.0,,,3.257015428636592e-15
buy_and_hold,baseline,0.0119758990618861,0.0089671414178251,0.0122275696423193,0.5004728835085254,0,0.0,,,1.8088995400518416e-25
