model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.0054728033397189,0.0041345924978755,0.0056000239813121,0.5417999946220656,23,0.0017543859649122,,,1.0
conv_gru,mixed,0.0054688532123277,0.0041381160075743,0.0056007390835836,0.540885745785044,10487,0.7999237223493516,26.0,1.0,0.5904153136766476
mlp_deep,dense,0.0054708822164699,0.0041383685454689,0.0056024319977341,0.5402403936647934,17623,1.3442410373760487,27.0,3.0,0.0985989359045379
multibranch,mixed,0.0054488919959841,0.0041439687693661,0.0056032380824381,0.5345935626126005,12311,0.9390541571319604,29.0,4.0,0.3931971469804491
cnn_deep,convolutional,0.0054160082931996,0.0041464125296378,0.0056154417511291,0.527306461588104,9815,0.7486651411136537,31.0,6.0,0.0947519083034326
lstm,recurrent,0.0054451277189595,0.0041593052239958,0.0056214783706803,0.5230578934631208,7927,0.60465293668955,27.0,2.0,0.0227186790625932
zero_return,baseline,0.005481688335217,0.0041642476022164,0.0056210628537333,0.0,0,0.0,,,0.0205039563624725
gru,recurrent,0.0054417856291646,0.0041654941858921,0.0056311199285211,0.5250746188389039,6231,0.4752860411899313,28.0,3.0,0.0012082877048168
cnn,convolutional,0.0054155789705391,0.0041805101081634,0.0056900131933557,0.5116566726720266,3095,0.2360793287566742,32.0,7.0,4.159752213178623e-07
mlp_small,dense,0.0053847786366344,0.0041884691403181,0.0057055047211561,0.5098281749979833,8151,0.6217391304347826,32.0,7.0,4.29845675055735e-14
linear_regression,baseline,0.0054172400394881,0.0042100876231543,0.0057205191328377,0.5115222243136411,5313,0.4052631578947368,,,2.527287020535612e-12
window_mean,baseline,0.0068549397921901,0.0052769610666266,0.0069315766886905,0.5017612734948507,0,0.0,,,3.321283445344681e-36
buy_and_hold,baseline,0.0132562387878472,0.0101238556604427,0.0137077302932126,0.497916050445024,0,0.0,,,2.4726059314326688e-133
