model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.0021963433865272,0.0017041405380388,0.0023245286517013,0.5746682163418656,23,0.0017659705159705,,,1.0
mlp_deep,dense,0.0021892245488434,0.0017052106894563,0.0023306608538052,0.5695596940292457,135383,10.394886363636363,26.0,2.0,0.0438669388059756
multibranch,mixed,0.0021867080036933,0.0017054354307005,0.0023257937774139,0.5713436224558748,41751,3.2056971744471743,26.0,1.0,0.6239456204653426
conv_gru,mixed,0.0021878588632353,0.0017062368215035,0.0023246993808736,0.5732626969754304,10487,0.805205773955774,26.0,1.0,0.9710003590698502
cnn,convolutional,0.0021553392142058,0.0017125651437458,0.0023341160900541,0.5642889964051139,3095,0.2376382063882063,27.0,3.0,0.2904361204124209
gru,recurrent,0.0021677185245378,0.0017135782767472,0.0023506129840269,0.5657485742087196,6231,0.4784244471744471,28.0,3.0,0.0371436856009964
lstm,recurrent,0.0021873486243978,0.0017176018778283,0.0023442922955886,0.5630726815687759,7927,0.6086455773955773,26.0,1.0,0.0243045933727514
cnn_deep,convolutional,0.0021079383343112,0.0017284969698817,0.0023554675010919,0.5569370489499148,9815,0.7536087223587223,28.0,3.0,0.0206917124402262
zero_return,baseline,0.002242801684995,0.0017452245147723,0.0023590207482819,0.0,0,0.0,,,0.0852032510046014
mlp_small,dense,0.0020613506874049,0.0017953928666765,0.0024721122189859,0.5338540962780766,67031,5.146729115479116,28.0,3.0,6.042157014968192e-11
linear_regression,baseline,0.0020263111734666,0.0018789681363051,0.0026309332939348,0.5290428953698949,47633,3.6573249385749382,,,3.104614639798638e-16
window_mean,baseline,0.0025442699850051,0.0019566455691045,0.0027610754617487,0.4912560477876584,0,0.0,,,3.944840352265822e-11
buy_and_hold,baseline,0.0121419212812278,0.0092591945064198,0.012534278461762,0.495959131821499,0,0.0,,,1.8606182792471888e-40
