model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.001256310103939,0.0009248889854202,0.001270971561578,0.6313162819713038,23,0.001772503082614,,,1.0
mlp_deep,dense,0.0012512116625938,0.000926005452755,0.0012737888939374,0.6296888985326426,135383,10.433338471023427,26.0,1.0,0.3534076647683714
multibranch,mixed,0.0012468861734155,0.0009275060036767,0.0012730955030671,0.6291193143291112,41751,3.217555487053021,26.0,1.0,0.5454193128638258
conv_gru,mixed,0.0012503473992,0.0009287255241586,0.0012724386156288,0.6312077897420597,10487,0.8081843403205918,26.0,1.0,0.7804974191073943
cnn,convolutional,0.0011932860250164,0.0009340660235065,0.0012846544656183,0.6237218259242182,3095,0.2385172626387176,27.0,2.0,0.168525247558961
lstm,recurrent,0.0012488600010682,0.0009345752395435,0.0012821020496708,0.6271935772600288,7927,0.6108970406905055,26.0,1.0,0.1867518564902204
gru,recurrent,0.0012490966776042,0.0009366352781749,0.0012857849451384,0.6237760720388402,6231,0.4801942046855734,27.0,2.0,0.0422720663990772
cnn_deep,convolutional,0.0012459094602525,0.0009503656685376,0.0013417790131045,0.5974667064471507,9815,0.7563964241676943,26.0,1.0,0.0229989586060516
zero_return,baseline,0.0013312669110206,0.00098708949041,0.0013277690792268,0.0,0,0.0,,,0.0970185932213513
mlp_small,dense,0.0011760723021431,0.0009872261502012,0.0013742072318652,0.5787517969025469,67031,5.165767570900123,28.0,3.0,9.200827784883962e-07
linear_regression,baseline,0.0011570196791652,0.0010778000895947,0.0015224963562346,0.5497572486370663,47633,3.6708538840937113,,,4.5655183924326606e-08
window_mean,baseline,0.0017840367417594,0.0012758876951301,0.0018239680296117,0.5173451951503973,0,0.0,,,1.2198577955945106e-07
buy_and_hold,baseline,0.0119825501552157,0.009009537340322,0.0122184676241942,0.5004475304456318,0,0.0,,,3.2936894248028908e-25
