model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.001267023722186,0.000924524116926,0.0012685497178585,0.6322564974495992,23,0.001763668430335,,,1.0
mlp_deep,dense,0.0012664351543061,0.0009250836255989,0.0012701551503116,0.6310420208889969,17623,1.351353423817192,26.0,2.0,0.6248448955101205
multibranch,mixed,0.001265825972091,0.0009266761283208,0.001269558277103,0.6301514047445551,12311,0.944022697645886,26.0,2.0,0.7354017799533101
conv_gru,mixed,0.0012631981162573,0.0009290623776404,0.0012698154809405,0.631959625401452,10487,0.8041561229967027,26.0,1.0,0.832216178074586
cnn_deep,convolutional,0.0012552243225873,0.0009298094797187,0.0012769332596802,0.6234043127412086,9815,0.7526263323364772,28.0,3.0,0.2509480121779963
lstm,recurrent,0.0012622468273573,0.0009332594328084,0.0012762787578444,0.6278573934634173,7927,0.6078521585767963,26.0,1.0,0.247858603251097
gru,recurrent,0.0012602465264386,0.0009343759463887,0.0012818694436263,0.6241060103095566,6231,0.4778007821486082,27.0,2.0,0.0634010581429957
linear_regression,baseline,0.0012575027518205,0.0009352249470937,0.0012873854142456,0.6171430113621029,5313,0.4074074074074074,,,0.0279809349374053
mlp_small,dense,0.0012514956641469,0.0009415495644924,0.0012948789142772,0.6154157558092462,8151,0.6250287554635381,31.0,6.0,0.0064072754456999
cnn,convolutional,0.0012432429412936,0.000944951855963,0.0013028566661551,0.6036218389873964,3095,0.2373284257342228,28.0,3.0,0.0003884031991465
zero_return,baseline,0.0013381363478165,0.0009857846066663,0.0013258779188293,0.0,0,0.0,,,0.0794035777620585
window_mean,baseline,0.0040659027220847,0.0030755093498179,0.0042261522240877,0.4948587158934499,0,0.0,,,1.4084557711744992e-25
buy_and_hold,baseline,0.0119737068956971,0.0089629562151346,0.0122260126630175,0.5002833778641406,0,0.0,,,1.5837709682552659e-25
