model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.0054728947084875,0.0041387052129152,0.005602618796626,0.5417709931884878,23,0.0017565297082633,,,1.0
cnn_deep,convolutional,0.0053860992027733,0.0041423948732029,0.0056170346784463,0.5291441186764666,9815,0.7495799602871545,32.0,7.0,0.3331593238085237
mlp_deep,dense,0.0054653110477058,0.0041426931984109,0.0056038280664343,0.5402633066795897,47063,3.594241637391172,27.0,2.0,0.4826292259480123
conv_gru,mixed,0.0054691815576938,0.0041430977719201,0.0056052023873291,0.5386748512505721,10487,0.8009011761111959,26.0,1.0,0.0681059655560923
multibranch,mixed,0.0054688928039005,0.0041473846706803,0.0056063716808252,0.5366556282475836,19671,1.5022911257064304,26.0,2.0,0.0571633833175587
lstm,recurrent,0.0054448717312525,0.0041665706125703,0.005628141340537,0.5209056888242738,7927,0.6053917824957996,27.0,2.0,0.0115999749262923
zero_return,baseline,0.0054817696262676,0.0041681357833982,0.0056236335985709,0.0,0,0.0,,,0.0203670686136283
gru,recurrent,0.0054426384085764,0.0041690213873408,0.0056328117546739,0.5228172199337695,6231,0.4758668092255995,28.0,3.0,0.0011594931401607
cnn,convolutional,0.0054171993694257,0.0041709115759246,0.0056647520704459,0.5154941711762647,3095,0.2363678020467389,31.0,6.0,0.000151486506777
mlp_small,dense,0.0052702682508496,0.0042598204722356,0.0058125317141679,0.5077672778181622,22871,1.7466778677256758,30.0,5.0,2.277008222164136e-27
linear_regression,baseline,0.0053363049384657,0.0043205737870755,0.0058998128006306,0.5132057184395444,15893,1.2137620284099588,,,1.3945637484964771e-25
window_mean,baseline,0.0059644804400962,0.0045789039521275,0.0061808007149347,0.4983442371375495,0,0.0,,,3.3970514019337814e-21
buy_and_hold,baseline,0.0132586573943327,0.0101197532034461,0.0137175735472824,0.4979134695635786,0,0.0,,,2.679644069414314e-133
