model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.0012672326379313,0.0009243718787216,0.0012685566493935,0.6322564974495992,23,0.0017631276351092,,,1.0
mlp_deep,dense,0.0012647247630667,0.0009248613949531,0.0012671979782844,0.6318516719293984,10263,0.7867382138750479,27.0,2.0,0.7980739514294122
multibranch,mixed,0.0012665285149328,0.0009263288503955,0.0012688724795527,0.6306641837368094,10471,0.8026830203142966,26.0,2.0,0.9185088608181262
conv_gru,mixed,0.0012644788725378,0.0009268286756501,0.0012673747820206,0.6322834858176126,10487,0.8039095438865466,26.0,1.0,0.7746917307195899
cnn_deep,convolutional,0.00125127278725,0.0009298300994906,0.0012789678108443,0.6256983240223464,9815,0.7523955538520506,31.0,6.0,0.1941564759027159
linear_regression,baseline,0.0012622953617637,0.0009307871107726,0.001277002068173,0.6248886729819448,2668,0.2045228056726715,,,0.0447692798837609
lstm,recurrent,0.0012581516879878,0.0009310448809185,0.0012746175873504,0.6301244163765417,7927,0.6076657723265619,27.0,2.0,0.4112373505742649
gru,recurrent,0.0012563203969647,0.0009342941057096,0.001279984897471,0.6256983240223464,6231,0.477654273668072,28.0,3.0,0.1140561158481981
cnn,convolutional,0.0012517774193597,0.0009371240962768,0.0012891051007041,0.6133916282082422,3095,0.2372556535070908,32.0,7.0,0.0287380923801759
mlp_small,dense,0.0012595959035004,0.0009383777243122,0.0012831343116515,0.6194370226432407,4471,0.3427366807205826,31.0,6.0,0.0730848345946757
zero_return,baseline,0.001338161277964,0.0009856276734413,0.0013258779188293,0.0,0,0.0,,,0.0789917309342759
window_mean,baseline,0.0056603571130896,0.0042229232884839,0.0057637789653324,0.4964780179742531,0,0.0,,,8.203445474825013e-26
buy_and_hold,baseline,0.0119734376732884,0.0089603315927435,0.0122260126630175,0.5002833778641406,0,0.0,,,1.582695059248588e-25
