model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
mlp_deep,dense,0.002201506232817,0.0017022955249917,0.0023217301944614,0.5747290282671257,10263,0.7837941041698487,27.0,13.0,0.8892831543911228
cnn_deep,convolutional,0.0021893738707891,0.0017028577922506,0.0023271419869475,0.5711788278959684,9815,0.7495799602871545,31.0,6.0,0.3022220592444903
historical_mean,baseline,0.0022038467184569,0.0017034392283885,0.0023211252885426,0.575401414701057,23,0.0017565297082633,,,1.0
multibranch,mixed,0.0022000777560502,0.0017043935431189,0.002321330574962,0.5734918372286921,10471,0.7996792424010998,27.0,3.0,0.9602360513914
conv_gru,mixed,0.0022003393006391,0.0017045964554451,0.0023201658146641,0.5751324601274844,10487,0.8009011761111959,26.0,1.0,0.7481302189837524
lstm,recurrent,0.0021836946815282,0.0017094140112085,0.0023350243205148,0.5669562410908797,7927,0.6053917824957996,28.0,3.0,0.0895145535316506
gru,recurrent,0.002181740412783,0.0017097600264407,0.0023392277603239,0.5670369274629515,6231,0.4758668092255995,29.0,4.0,0.0249246991915007
cnn,convolutional,0.0021798230689555,0.0017134029082842,0.0023490857123788,0.555364298969904,3095,0.2363678020467389,34.0,9.0,0.0012849324187276
mlp_small,dense,0.0021842954791424,0.0017137653455742,0.0023469878639056,0.5591834539146339,4471,0.3414541011150145,33.0,9.0,0.000738394068278
linear_regression,baseline,0.0021916500942631,0.0017149548255392,0.0023398283661337,0.5583765901939163,2668,0.2037574461585459,,,0.003723090580046
zero_return,baseline,0.0022478114527635,0.0017444755857409,0.0023560737456528,0.0,0,0.0,,,0.0683268666144583
window_mean,baseline,0.0059879787361993,0.0045876745527582,0.0061710728801578,0.4981845566283854,0,0.0,,,2.474473951580521e-35
buy_and_hold,baseline,0.0121278894310728,0.0092578259686072,0.0125335965771276,0.4957639654662327,0,0.0,,,6.968715499880722e-41
