model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.0054756128429517,0.0041391549399274,0.0056137379085315,0.5409663297843593,23,0.0017631276351092,,,1.0
conv_gru,mixed,0.0054716238198041,0.0041409320116149,0.0056137003427397,0.5396151975355348,10487,0.8039095438865466,26.0,1.0,0.9826730555559178
cnn_deep,convolutional,0.0054388357435785,0.0041435295630508,0.0056271559084255,0.5284007998702913,9815,0.7523955538520506,32.0,7.0,0.0304043011773546
mlp_deep,dense,0.0054479500534423,0.0041446077006515,0.0056206062722026,0.5352105064043668,135383,10.378152548869298,27.0,4.0,0.0034319270215755
multibranch,mixed,0.0054600895480189,0.0041451401001902,0.0056191788550139,0.5325082419067179,41751,3.20053660406286,26.0,1.0,0.003258962574872
cnn,convolutional,0.0054482242570995,0.004157022031636,0.0056494293051571,0.5189158514835432,3095,0.2372556535070908,29.0,4.0,3.131907264932131e-06
lstm,recurrent,0.0054476690303129,0.004161237682008,0.0056344878530274,0.5245635842836297,7927,0.6076657723265619,27.0,2.0,0.0452409847817594
gru,recurrent,0.0054457910266701,0.0041653901463854,0.0056434337701159,0.5254283089228774,6231,0.477654273668072,28.0,4.0,0.0015302050842978
zero_return,baseline,0.005485082440533,0.0041695687442523,0.0056343611378703,0.0,0,0.0,,,0.0264030068064532
window_mean,baseline,0.0056350002008804,0.0042782172034501,0.005818770747271,0.5013511322488245,0,0.0,,,3.796030695009375e-12
mlp_small,dense,0.0050053626275014,0.0044237331175551,0.0059849846808989,0.5158352699562233,67031,5.138443848217708,29.0,4.0,5.6587173965890995e-37
linear_regression,baseline,0.0050982288174047,0.0046808579484999,0.0063809406528444,0.5134032319083391,47633,3.651437332311231,,,1.5088581892077517e-63
buy_and_hold,baseline,0.0132654580235356,0.0101351292582205,0.0137339598473693,0.4979462789817867,0,0.0,,,1.3529238553240575e-132
