model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.0118491383901568,0.0090230409182332,0.0122898689926013,0.524150220038338,23,0.00175612735741,,,1.0
cnn_deep,convolutional,0.0118180036072602,0.0090252666971092,0.0122913349792108,0.5176705634601366,9815,0.7494082614339161,34.0,10.0,0.933429533330796
conv_gru,mixed,0.0118277040950667,0.0090367792209746,0.0123000222281811,0.5123248467831205,10487,0.8007177216156371,26.0,1.0,0.0293871322131801
zero_return,baseline,0.0118256358261955,0.0090391053664009,0.012302429703848,0.0,0,0.0,,,0.0163067741039693
mlp_deep,dense,0.0118135289499589,0.0090394330171285,0.0123059431997908,0.5162396392991171,47063,3.5934183400778803,28.0,7.0,0.0018431597185037
multibranch,mixed,0.0118381640783462,0.0090420944253886,0.0123033302061271,0.5119468668160587,19671,1.5019470107658242,26.0,1.0,0.001046261396787
cnn,convolutional,0.011812356357614,0.0090614316535303,0.0123718029129498,0.4992305407813386,3095,0.2363136596167061,42.0,18.0,3.3308238165114593e-08
lstm,recurrent,0.0118236998668709,0.0090664887752727,0.0123156316785088,0.5060881773266017,7927,0.6052531113995572,28.0,4.0,0.0040799762288645
gru,recurrent,0.0118106646469285,0.0090764556036165,0.012347634191584,0.5068171386916493,6231,0.4757578071314041,30.0,7.0,1.1315399498361959e-07
window_mean,baseline,0.0121148672432953,0.0092476452612638,0.0125552855829773,0.5021193876724533,0,0.0,,,3.08660062532972e-13
mlp_small,dense,0.0114958324520971,0.0092903620550596,0.0126939492986591,0.5026323604848943,22871,1.7462777735359245,30.0,5.0,8.537204334861453e-36
linear_regression,baseline,0.0116729838447277,0.0095067496953224,0.0129857768410707,0.5053052188234024,15893,1.213484003970375,,,1.9475406889591878e-48
buy_and_hold,baseline,0.016716874892017,0.0130724070366523,0.0178560138236559,0.4962336996139204,0,0.0,,,5.510662094622164e-140
