model,family,mae_train,mae_val,mae_test,directional_accuracy_test,n_params,params_to_samples,epochs_run,best_epoch,dm_p_value
historical_mean,baseline,0.0118473986182102,0.0090125881030471,0.0122861290072178,0.5243629499797762,23,0.0017539845954396,,,1.0
mlp_deep,dense,0.0118298642355291,0.0090249558966727,0.0123011169039307,0.5093973304570582,17623,1.343933501105773,27.0,2.0,0.0006424182905091
conv_gru,mixed,0.0118258788581291,0.009025774359544,0.0122962113079485,0.498934879331266,10487,0.7997407153206741,26.0,9.0,0.0311015426844844
zero_return,baseline,0.0118237754452342,0.0090282962398174,0.0122988649629334,0.0,0,0.0,,,0.0152201868100236
multibranch,mixed,0.0118234408656444,0.009031095667537,0.0122992858261305,0.5083726574086558,12311,0.9388393197590178,27.0,2.0,0.0089112715800606
cnn_deep,convolutional,0.0118202600194364,0.0090342765524719,0.0123165034718562,0.5064311716327357,9815,0.7484938610539159,30.0,5.0,1.7064081305849194e-05
lstm,recurrent,0.0118236555646324,0.0090548462178978,0.0123126186370526,0.5083996224888769,7927,0.604514603828262,28.0,4.0,0.0027478796331742
cnn,convolutional,0.0118275128513897,0.0090596020131461,0.0123573151132372,0.5069165430767156,3095,0.2360253183863341,38.0,16.0,8.984213036830486e-07
gru,recurrent,0.0117918409690718,0.0090663920819564,0.0123440747236935,0.5127949305649184,6231,0.475177304964539,32.0,7.0,2.692162143039287e-06
mlp_small,dense,0.0117091022129522,0.0091468010305212,0.0125216051485797,0.5021437238775786,8151,0.6215968885838481,32.0,8.0,1.4449388358646008e-20
linear_regression,baseline,0.0117932437926237,0.0092367847529493,0.0126136994176312,0.5038694890117298,5313,0.4051704415465568,,,7.573490336749066e-23
window_mean,baseline,0.0125987484941072,0.0096293146868222,0.012994026688471,0.500364028582985,0,0.0,,,3.2948473632149167e-29
buy_and_hold,baseline,0.0167137572575052,0.0130616908649564,0.0178503565582104,0.4962653363893757,0,0.0,,,3.272811565350181e-140
