epoch,loss,val_loss
1,0.01219277054746959,0.009170746666843529
2,0.011933470415306678,0.009103501920040759
3,0.01187000981260055,0.009082972705875198
4,0.011842742900428358,0.009074097581132026
5,0.011827138342257525,0.00907065125170085
6,0.011816228064942586,0.009069959093211975
7,0.011807771334509852,0.009069975622369919
8,0.011800586316166381,0.009070071698100465
9,0.011794136845351386,0.00907096323955703
10,0.011788032420708456,0.00907194982367177
11,0.011782066427763301,0.00907296533381291
12,0.011776378331286069,0.009074823831009158
13,0.011770477421900316,0.009076342447395198
14,0.011764596140889622,0.009079107982133584
15,0.011758673536984067,0.009081616281851477
16,0.011752356299432618,0.009083701021897074
17,0.01174586240650565,0.009086701064063781
18,0.01173901830204476,0.00908978168587546
19,0.011731995476063605,0.009093332355616152
20,0.01172453049510747,0.009097130962725993
21,0.011716937413177272,0.009102327316754415
22,0.011708891845548379,0.009107458587223432
23,0.011700600406695079,0.009111691084729284
24,0.011691927764136712,0.009117544472785951
25,0.01168326648537443,0.009123671625021052
26,0.011674403757499714,0.009130233700724535
27,0.01166516499128179,0.009137237931403003
28,0.011655834281622805,0.0091447948558002
29,0.011646316585864588,0.009152052189209673
30,0.011636539588941135,0.009158902492104793
