epoch,loss,val_loss
1,0.0022365749216272483,0.0017054356136131476
2,0.002185051813345652,0.001706399579874858
3,0.00216488731186815,0.0017084981941921503
4,0.002130612577002193,0.0017132182367757876
5,0.0020753766461445405,0.0017260617276814371
6,0.0020044833977100242,0.0017406199334752599
7,0.0019333711884042947,0.0017597386275785326
8,0.0018729737036980994,0.0017833750946737563
9,0.0018256481830033358,0.00179779277066253
10,0.0017918515725315687,0.0018017451938640533
11,0.0017750477614749424,0.0018242425260005962
12,0.0017614806228375456,0.0018448855108245364
13,0.0017369171615621445,0.0018285818997253456
14,0.0017109975786942125,0.0018416273012704335
15,0.001693302130253826,0.0018715402278961482
16,0.0016885978815690957,0.001924521041256428
17,0.0016884774530899285,0.0019110741516220745
18,0.0016926407607370875,0.0018674330962757842
19,0.0016961213412087586,0.0018431655911287687
20,0.001725825716578449,0.0018761533027099142
21,0.0017317843238934328,0.0018588943402029626
22,0.0016794230621130122,0.001848289096039035
23,0.0016312574136820607,0.00186333870746022
24,0.0016074983643941823,0.0018706590001275768
25,0.001594533547628746,0.0018756145153858304
26,0.0015860543776290742,0.0018822879761024884
