epoch,loss,val_loss
1,0.0055160901071676215,0.004162752890854124
2,0.005463164322953188,0.004159305216730473
3,0.005440091958653442,0.0041656521446854135
4,0.005420960385883081,0.004174154041789155
5,0.005401618201286158,0.0041873202765222856
6,0.005378654138472719,0.004205528751943405
7,0.005348134779631595,0.004231460275481639
8,0.005307838331292645,0.004266619085653171
9,0.005257427906704849,0.004304218596554399
10,0.005199083822173378,0.004343010806377162
11,0.005144170360042182,0.004375666239214158
12,0.0050935751316415825,0.004413345939300992
13,0.0050494402021135035,0.004441501099738919
14,0.005010580246254625,0.004461434103507946
15,0.004976621047865456,0.004482875954367046
16,0.004947990743459947,0.0044943849459309956
17,0.004922439888124646,0.004516615784639272
18,0.00489906796652235,0.0045283823954834134
19,0.004877410434405415,0.004542262037454
20,0.004858464587162634,0.004546255366725678
21,0.004841427611223177,0.004568735529281154
22,0.004825128467962768,0.004575757613310301
23,0.004809799429505231,0.004583131331526902
24,0.004796818459442292,0.00458648176474157
25,0.004784423239120185,0.004593433337590272
26,0.004772654784846489,0.00459672063334271
27,0.004762609015491147,0.004596480526643282
